序号	期号	开奖时间	开奖结果
1	2020007	2020-01-16	05,12,17,20,25,31\10
2	2020006	2020-01-14	03,04,05,10,16,32\09
3	2020005	2020-01-12	11,16,17,22,26,32\04
4	2020004	2020-01-09	02,15,17,27,32,33\03
5	2020003	2020-01-07	09,17,26,29,30,32\03
6	2020002	2020-01-05	04,09,14,15,16,29\11
7	2020001	2020-01-02	02,15,23,26,29,30\02
8	2019151	2019-12-31	02,06,09,18,24,26\14
9	2019150	2019-12-29	02,09,14,22,27,29\02
10	2019149	2019-12-26	01,06,27,28,31,33\07
11	2019148	2019-12-24	09,10,13,20,26,27\08
12	2019147	2019-12-22	01,09,12,14,23,27\12
13	2019146	2019-12-19	01,04,10,12,30,32\14
14	2019145	2019-12-17	01,08,13,17,18,19\16
15	2019144	2019-12-15	02,12,15,19,27,30\03
16	2019143	2019-12-12	05,13,15,16,26,32\09
17	2019142	2019-12-10	08,14,24,27,29,33\09
18	2019141	2019-12-08	10,13,14,15,17,33\14
19	2019140	2019-12-05	02,04,09,11,14,22\05
20	2019139	2019-12-03	08,14,20,23,30,33\11
21	2019138	2019-12-01	02,06,12,30,31,32\11
22	2019137	2019-11-28	07,10,13,19,23,31\06
23	2019136	2019-11-26	12,14,15,17,29,33\12
24	2019135	2019-11-24	03,06,10,11,27,33\03
25	2019134	2019-11-21	01,04,06,22,29,30\03
26	2019133	2019-11-19	03,07,16,21,24,31\07
27	2019132	2019-11-17	04,06,11,14,19,33\07
28	2019131	2019-11-14	09,17,19,20,24,31\04
29	2019130	2019-11-12	01,07,09,11,24,32\16
30	2019129	2019-11-10	03,04,07,09,15,26\07
31	2019128	2019-11-07	03,08,12,16,17,19\08
32	2019127	2019-11-05	02,06,07,12,17,24\10
33	2019126	2019-11-03	02,14,17,29,32,33\16
34	2019125	2019-10-31	02,11,12,26,27,29\03
35	2019124	2019-10-29	04,09,30,31,32,33\01
36	2019123	2019-10-27	02,06,08,17,28,30\06
37	2019122	2019-10-24	04,10,15,19,21,23\02
38	2019121	2019-10-22	02,06,15,21,30,31\02
39	2019120	2019-10-20	10,12,27,31,32,33\03
40	2019119	2019-10-17	04,20,22,24,26,33\07
41	2019118	2019-10-15	12,14,15,25,28,31\04
42	2019117	2019-10-13	03,05,11,28,32,33\01
43	2019116	2019-10-10	01,08,09,13,16,33\01
44	2019115	2019-10-08	04,10,11,14,15,29\05
45	2019114	2019-09-29	02,04,09,11,12,30\01
46	2019113	2019-09-26	01,05,19,21,25,33\15
47	2019112	2019-09-24	03,12,14,17,23,27\01
48	2019111	2019-09-22	07,18,20,22,24,33\01
49	2019110	2019-09-19	01,18,22,26,27,28\08
50	2019109	2019-09-17	03,06,07,17,28,31\10
51	2019108	2019-09-15	07,13,19,22,25,32\13
52	2019107	2019-09-12	02,06,08,23,27,32\02
53	2019106	2019-09-10	02,14,22,27,30,33\14
54	2019105	2019-09-08	02,13,15,17,26,33\01
55	2019104	2019-09-05	01,05,16,17,18,24\10
56	2019103	2019-09-03	04,12,14,21,27,29\12
57	2019102	2019-09-01	03,08,12,16,20,32\12
58	2019101	2019-08-29	01,04,09,21,31,33\05
59	2019100	2019-08-27	01,04,12,13,30,32\08
60	2019099	2019-08-25	07,14,22,23,27,30\08
61	2019098	2019-08-22	03,11,12,14,17,26\09
62	2019097	2019-08-20	03,05,18,24,25,31\09
63	2019096	2019-08-18	05,07,12,18,27,32\11
64	2019095	2019-08-15	02,05,14,19,21,28\01
65	2019094	2019-08-13	05,10,12,18,19,27\06
66	2019093	2019-08-11	05,07,08,09,20,22\02
67	2019092	2019-08-08	09,17,27,28,32,33\08
68	2019091	2019-08-06	07,10,21,24,29,32\11
69	2019090	2019-08-04	02,03,06,08,14,22\04
70	2019089	2019-08-01	02,04,14,16,20,22\11
71	2019088	2019-07-30	13,14,15,21,23,29\13
72	2019087	2019-07-28	04,05,07,09,21,30\04
73	2019086	2019-07-25	16,22,24,26,28,31\06
74	2019085	2019-07-23	01,04,14,18,24,29\04
75	2019084	2019-07-21	04,08,14,18,20,27\03
76	2019083	2019-07-18	06,15,17,26,28,31\03
77	2019082	2019-07-16	07,16,19,22,24,28\02
78	2019081	2019-07-14	05,24,27,29,31,32\10
79	2019080	2019-07-11	03,06,08,20,24,32\07
80	2019079	2019-07-09	01,03,06,09,19,31\16
81	2019078	2019-07-07	01,17,27,29,31,33\12
82	2019077	2019-07-04	09,11,13,18,21,22\15
83	2019076	2019-07-02	12,15,19,20,29,32\14
84	2019075	2019-06-30	05,08,20,22,31,33\03
85	2019074	2019-06-27	12,21,27,29,31,33\04
86	2019073	2019-06-25	01,02,06,12,16,18\08
